Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
75,18,6,100,1,Some Random Commen with Id 75
76,19,7,0,7,Some Random Commen with Id 76
77,19,7,142,3,Some Random Commen with Id 77
78,19,7,70,1,Some Random Commen with Id 78
79,20,2,125,2,Some Random Commen with Id 79
80,20,2,88,3,Some Random Commen with Id 80
81,20,2,127,4,Some Random Commen with Id 81
82,20,2,64,7,Some Random Commen with Id 82
83,20,2,48,9,Some Random Commen with Id 83
84,20,2,14,2,Some Random Commen with Id 84
85,22,6,111,0,Some Random Commen with Id 85
86,22,6,80,6,Some Random Commen with Id 86
87,22,6,150,5,Some Random Commen with Id 87
88,22,6,36,1,Some Random Commen with Id 88
89,22,6,34,3,Some Random Commen with Id 89
90,23,2,149,4,Some Random Commen with Id 90
91,23,2,106,5,Some Random Commen with Id 91
92,23,2,133,8,Some Random Commen with Id 92
93,23,2,136,8,Some Random Commen with Id 93
94,23,2,29,7,Some Random Commen with Id 94
95,23,2,178,6,Some Random Commen with Id 95
96,23,2,35,7,Some Random Commen with Id 96
97,24,8,52,6,Some Random Commen with Id 97
98,26,9,113,8,Some Random Commen with Id 98
99,26,9,177,5,Some Random Commen with Id 99
100,26,9,161,4,Some Random Commen with Id 100
101,26,9,119,4,Some Random Commen with Id 101
102,26,9,119,7,Some Random Commen with Id 102
103,26,9,151,9,Some Random Commen with Id 103
104,27,1,192,9,Some Random Commen with Id 104
105,27,1,35,3,Some Random Commen with Id 105
106,27,1,135,6,Some Random Commen with Id 106
107,27,1,163,7,Some Random Commen with Id 107
108,27,1,58,1,Some Random Commen with Id 108
109,27,1,122,5,Some Random Commen with Id 109
110,27,1,57,7,Some Random Commen with Id 110
111,27,1,53,9,Some Random Commen with Id 111
112,28,2,71,4,Some Random Commen with Id 112
113,29,7,7,7,Some Random Commen with Id 113
114,29,7,114,7,Some Random Commen with Id 114
115,29,7,35,5,Some Random Commen with Id 115
116,29,7,79,6,Some Random Commen with Id 116
117,29,7,14,4,Some Random Commen with Id 117
118,29,7,146,3,Some Random Commen with Id 118
119,29,7,84,1,Some Random Commen with Id 119
120,29,7,121,2,Some Random Commen with Id 120
121,29,7,199,7,Some Random Commen with Id 121
122,30,9,90,2,Some Random Commen with Id 122
123,32,8,18,3,Some Random Commen with Id 123
124,32,8,197,3,Some Random Commen with Id 124
125,32,8,135,3,Some Random Commen with Id 125
126,32,8,162,4,Some Random Commen with Id 126
127,32,8,8,7,Some Random Commen with Id 127
128,33,2,179,4,Some Random Commen with Id 128
129,33,2,51,5,Some Random Commen with Id 129
130,33,2,8,3,Some Random Commen with Id 130
131,33,2,1,9,Some Random Commen with Id 131
132,33,2,127,2,Some Random Commen with Id 132
133,33,2,18,9,Some Random Commen with Id 133
134,33,2,111,5,Some Random Commen with Id 134
135,33,2,102,7,Some Random Commen with Id 135
136,33,2,121,8,Some Random Commen with Id 136
137,34,8,91,7,Some Random Commen with Id 137
138,34,8,40,5,Some Random Commen with Id 138
139,35,4,63,0,Some Random Commen with Id 139
140,35,4,164,8,Some Random Commen with Id 140
141,35,4,3,4,Some Random Commen with Id 141
142,35,4,94,5,Some Random Commen with Id 142
143,35,4,162,7,Some Random Commen with Id 143
144,35,4,190,1,Some Random Commen with Id 144
145,35,4,20,8,Some Random Commen with Id 145
146,35,4,174,3,Some Random Commen with Id 146
147,36,7,44,5,Some Random Commen with Id 147
148,37,1,53,5,Some Random Commen with Id 148
149,37,1,74,7,Some Random Commen with Id 149
150,38,2,92,8,Some Random Commen with Id 150
151,38,2,28,4,Some Random Commen with Id 151
152,38,2,41,0,Some Random Commen with Id 152
153,39,5,128,8,Some Random Commen with Id 153
154,39,5,124,3,Some Random Commen with Id 154
155,39,5,0,7,Some Random Commen with Id 155
156,39,5,95,1,Some Random Commen with Id 156
